"RH","RH","4,572","amc","2.63","3.93","+1.30 ","+49.43% ","-15.63%","", 07/09/2023
"DOCU","DocuSign","8,421","amc","0.65","0.72","+0.07 ","+10.77% ","-3.68%","", 07/09/2023
"GIII","GIII Apparel Group","1,111","bmo","0.02","0.40","+0.38 ","+1,900.00% ","24.25%","", 07/09/2023
"SCWX","SecureWorks","536","bmo","-0.16","-0.10","+0.06 ","+37.50% ","-7.22%","", 07/09/2023
"SMAR","Smartsheet","5,455","amc","0.08","0.16","+0.08 ","+100.00% ","6.62%","", 07/09/2023
"SAIC","Science Applications International","5,600","bmo","1.60","2.05","+0.45 ","+28.13% ","-4.86%","", 07/09/2023
"KFY","KornFerry International","2,536","bmo","0.92","0.99","+0.07 ","+7.61% ","-2.23%","", 07/09/2023
"ZUMZ","Zumiez","345","amc","-0.67","-0.44","+0.23 ","+34.33% ","-10.21%","", 07/09/2023
"GWRE","Guidewire Software","7,265","amc","0.34","0.74","+0.40 ","+117.65% ","10.97%","", 07/09/2023
"FIZZ","National Beverage","4,414","amc","--","0.53","--","--","-1.79%","", 07/09/2023
"MEI","Methode Electronics","838","bmo","0.22","0.06","-0.16 ","-72.73% ","-22.23%","", 07/09/2023
"ABM","ABM Industries","2,642","bmo","0.88","0.79","-0.09 ","-10.23% ","-13.64%","", 07/09/2023
"QD","Qudian","471","bmo","--","-0.05","--","--","-17.30%","", 07/09/2023
"PRNDY","Pernod Ricard","43,322","--","--","--","--","--","--","", 07/09/2023
"SKHSY","Sekisui House","12,329","bmo","--","0.54","--","--","0.14%","", 07/09/2023
"TTC","Toro","8,607","bmo","1.23","0.95","-0.28 ","-22.76% ","-12.69%","", 07/09/2023
"DOOO","BRP","5,793","bmo","2.15","2.41","+0.26 ","+12.09% ","-1.94%","", 07/09/2023
"BRZE","Braze","4,486","amc","-0.14","-0.04","+0.10 ","+71.43% ","3.13%","", 07/09/2023
"IMPUY","Impala Platinum","4,169","--","--","--","--","--","--","", 07/09/2023
"WLYB","John Wiley & Sons","2,066","bmo","--","0.27","--","--","2.23%","", 07/09/2023
"WLY","John Wiley & Sons","1,959","bmo","--","0.27","--","--","1.46%","", 07/09/2023
"PL","Planet Labs PBC","737","amc","-0.15","-0.14","+0.01 ","+6.67% ","-11.04%","", 07/09/2023
"DBI","Designer Brands","732","bmo","0.48","0.59","+0.11 ","+22.92% ","21.97%","", 07/09/2023
"SWBI","Smith & Wesson Brands","610","amc","--","0.13","--","--","10.85%","", 07/09/2023
"CDMO","Avid Bioservices","598","amc","-0.04","0.00","+0.04 ","+100.00% ","-6.84%","", 07/09/2023
"TNP","Tsakos Energy Navigation","569","bmo","1.60","1.65","+0.05 ","+3.12% ","-4.26%","", 07/09/2023
"BBCP","Concrete Pumping Holdings","461","amc","0.16","0.17","+0.01 ","+6.25% ","6.80%","", 07/09/2023
"WDH","Waterdrop","446","bmo","--","0.01","--","--","-3.95%","", 07/09/2023
"CRESY","Cresud","384","--","--","1.62","--","--","-4.16%","", 07/09/2023
"KALV","KalVista Pharmaceuticals","311","bmo","-0.83","-0.74","+0.09 ","+10.84% ","0.60%","", 07/09/2023
"TSP","TuSimple","299","bmo","--","-0.50","--","--","--","", 07/09/2023
"LMNR","Limoneira Co","267","amc","0.15","0.02","-0.13 ","-86.67% ","-4.17%","", 07/09/2023
"LTRX","Lantronix","161","amc","0.05","0.06","+0.01 ","+20.00% ","28.25%","", 07/09/2023
"AOUT","American Outdoor Brands","125","amc","-0.03","0.01","+0.04 ","+133.33% ","-0.53%","", 07/09/2023
"GMGI","Golden Matrix Group, Inc.","99","bmo","--","-0.03","--","--","2.56%","", 07/09/2023
"KZIA","Novogen Limited","15","--","--","--","--","--","--","", 07/09/2023
